Episode 102500/1000000 | Mean reward (last 500): +47.84 | Win rate: 55.5% | Win rate (last 500): 58.6% | 
Episode 103000/1000000 | Mean reward (last 500): +37.90 | Win rate: 55.5% | Win rate (last 500): 56.6% | 
Episode 103500/1000000 | Mean reward (last 500): +51.79 | Win rate: 55.5% | Win rate (last 500): 60.0% | 
Episode 104000/1000000 | Mean reward (last 500): +34.87 | Win rate: 55.5% | Win rate (last 500): 55.4% | 
Episode 104500/1000000 | Mean reward (last 500): +41.11 | Win rate: 55.5% | Win rate (last 500): 57.2% | 
Episode 105000/1000000 | Mean reward (last 500): +39.26 | Win rate: 55.6% | Win rate (last 500): 57.4% | 
Episode 105500/1000000 | Mean reward (last 500): +50.66 | Win rate: 55.6% | Win rate (last 500): 59.6% | 
Episode 106000/1000000 | Mean reward (last 500): +45.17 | Win rate: 55.6% | Win rate (last 500): 58.4% | 
Episode 106500/1000000 | Mean reward (last 500): +32.78 | Win rate: 55.6% | Win rate (last 500): 55.6% | 
Episode 107000/1000000 | Mean reward (last 500): +38.07 | Win rate: 55.6% | Win rate (last 500): 56.8% | 
Episode 107500/1000000 | Mean reward (last 500): +49.70 | Win rate: 55.6% | Win rate (last 500): 58.8% | 
Episode 108000/1000000 | Mean reward (last 500): +45.18 | Win rate: 55.6% | Win rate (last 500): 58.4% | 
Episode 108500/1000000 | Mean reward (last 500): +33.03 | Win rate: 55.6% | Win rate (last 500): 56.0% | 
Episode 109000/1000000 | Mean reward (last 500): +28.78 | Win rate: 55.6% | Win rate (last 500): 54.2% | 
Episode 109500/1000000 | Mean reward (last 500): +35.30 | Win rate: 55.6% | Win rate (last 500): 55.4% | 
Episode 110000/1000000 | Mean reward (last 500): +38.24 | Win rate: 55.6% | Win rate (last 500): 56.6% | 
Episode 110500/1000000 | Mean reward (last 500): +45.42 | Win rate: 55.6% | Win rate (last 500): 58.0% | 
Episode 111000/1000000 | Mean reward (last 500): +35.45 | Win rate: 55.6% | Win rate (last 500): 56.4% | 
Episode 111500/1000000 | Mean reward (last 500): +52.65 | Win rate: 55.6% | Win rate (last 500): 59.8% | 
Episode 112000/1000000 | Mean reward (last 500): +37.87 | Win rate: 55.7% | Win rate (last 500): 56.2% | 
Episode 112500/1000000 | Mean reward (last 500): +42.68 | Win rate: 55.7% | Win rate (last 500): 57.8% | 
Episode 113000/1000000 | Mean reward (last 500): +41.18 | Win rate: 55.7% | Win rate (last 500): 57.6% | 
Episode 113500/1000000 | Mean reward (last 500): +39.43 | Win rate: 55.7% | Win rate (last 500): 56.6% | 
Episode 114000/1000000 | Mean reward (last 500): +21.58 | Win rate: 55.7% | Win rate (last 500): 53.4% | 
Episode 114500/1000000 | Mean reward (last 500): +47.15 | Win rate: 55.7% | Win rate (last 500): 58.2% | 
Episode 115000/1000000 | Mean reward (last 500): +51.83 | Win rate: 55.7% | Win rate (last 500): 59.4% | 
Episode 115500/1000000 | Mean reward (last 500): +43.53 | Win rate: 55.7% | Win rate (last 500): 57.2% | 
Episode 116000/1000000 | Mean reward (last 500): +30.67 | Win rate: 55.7% | Win rate (last 500): 55.2% | 
Episode 116500/1000000 | Mean reward (last 500): +49.98 | Win rate: 55.7% | Win rate (last 500): 59.4% | 
Episode 117000/1000000 | Mean reward (last 500): +40.94 | Win rate: 55.7% | Win rate (last 500): 57.6% | 
Episode 117500/1000000 | Mean reward (last 500): +37.83 | Win rate: 55.7% | Win rate (last 500): 56.2% | 
Episode 118000/1000000 | Mean reward (last 500): +38.20 | Win rate: 55.7% | Win rate (last 500): 57.4% | 
Episode 118500/1000000 | Mean reward (last 500): +32.34 | Win rate: 55.7% | Win rate (last 500): 55.8% | 
Episode 119000/1000000 | Mean reward (last 500): +75.48 | Win rate: 55.8% | Win rate (last 500): 64.8% | 
Episode 119500/1000000 | Mean reward (last 500): +33.82 | Win rate: 55.8% | Win rate (last 500): 55.4% | 
Episode 120000/1000000 | Mean reward (last 500): +38.02 | Win rate: 55.8% | Win rate (last 500): 56.6% | 
Episode 120500/1000000 | Mean reward (last 500): +31.00 | Win rate: 55.8% | Win rate (last 500): 55.6% | 
Episode 121000/1000000 | Mean reward (last 500): +40.75 | Win rate: 55.8% | Win rate (last 500): 57.8% | 
Episode 121500/1000000 | Mean reward (last 500): +38.03 | Win rate: 55.8% | Win rate (last 500): 56.6% | 
Episode 122000/1000000 | Mean reward (last 500): +61.80 | Win rate: 55.8% | Win rate (last 500): 61.8% | 
Episode 122500/1000000 | Mean reward (last 500): +37.56 | Win rate: 55.8% | Win rate (last 500): 56.8% | 
Episode 123000/1000000 | Mean reward (last 500): +40.34 | Win rate: 55.8% | Win rate (last 500): 57.6% | 
Episode 123500/1000000 | Mean reward (last 500): +38.83 | Win rate: 55.8% | Win rate (last 500): 57.4% | 
Episode 124000/1000000 | Mean reward (last 500): +41.71 | Win rate: 55.8% | Win rate (last 500): 57.2% | 
Episode 124500/1000000 | Mean reward (last 500): +26.79 | Win rate: 55.8% | Win rate (last 500): 54.4% | 
Episode 125000/1000000 | Mean reward (last 500): +34.81 | Win rate: 55.8% | Win rate (last 500): 55.8% | 
